日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20230804,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.29,0.01,0.01,0.00,0.00,23394
20230807,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.36,0.07,0.05,0.00,0.00,23371
20230808,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.40,0.03,0.02,0.00,0.00,23414
20230809,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.43,0.04,0.03,0.00,0.00,23421
20230810,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.44,0.01,0.01,0.00,0.00,23409
20230811,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.45,0.01,0.00,0.00,0.00,23423
20230814,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.55,0.10,0.07,0.00,0.00,23378
20230815,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.76,0.21,0.14,0.00,0.00,23384
20230816,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.82,0.06,0.04,0.00,0.00,23400
20230817,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.86,0.03,0.02,0.00,0.00,23373
20230818,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.91,0.06,0.04,0.00,0.00,23388
20230821,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.02,0.10,0.07,0.00,0.00,23389
20230822,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.04,0.02,0.02,0.00,0.00,23422
20230823,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,144.09,0.05,0.04,0.00,0.00,23474
